positionId	positionName	companyId	companyFullName	companyShortName	industryField	financeStage	companySize	salary	workYear	education
7529808	资深python开发工程师	3038	北京国双科技有限公司	Gridsum 国双	数据服务,企业服务	上市公司	500-2000人	20k-30k	5-10年	本科
7579459	python开发工程师	135105	宁波豆尖网络科技有限公司	豆尖科技	移动互联网,教育	未融资	15-50人	15k-30k	3-5年	本科
7553620	网络测绘python研发工程师	40970	中国科学院信息工程研究所	中科院信工所	移动互联网	不需要融资	500-2000人	8k-9k	应届毕业生	本科
7387197	python开发工程师	476256	北京爱数智慧科技有限公司	爱数智慧	人工智能	A轮	50-150人	8k-15k	不限	本科
7387820	python开发工程师	165649	混沌时代（北京）教育科技有限公司	混沌大学	移动互联网,教育	不需要融资	150-500人	14k-20k	应届毕业生	本科
7700513	Python+JS程序员	120731004	图针科技（北京）有限公司	图针科技	汽车丨出行,数据服务	未融资	150-500人	10k-20k	3-5年	本科
7400641	python开发工程师	118517057	北京聚云数字信息技术有限公司	聚云数字	广告营销	未融资	50-150人	15k-25k	3-5年	本科
7620068	python开发工程师	120593385	慧博云通科技股份有限公司	慧博云通	软件开发,其他	未融资	2000人以上	17k-19k	1-3年	本科
6467578	python开发工程师	752906	北京融智国创科技有限公司	融智国创	人工智能,软件开发	未融资	50-150人	8k-12k	应届毕业生	本科
7420875	python开发工程师	158819	北京华为数字技术有限公司	华为	通讯电子,软件开发	不需要融资	2000人以上	10k-20k	1-3年	本科
7023148	Python研发工程师	5604	小付钱包技术（北京）有限公司	小付钱包技术（北京）有限公司	移动互联网,金融	未融资	150-500人	10k-20k	3-5年	本科
1942854	Python研发工程师	125102	北京格上添富科技发展有限公司	格上添富	移动互联网,金融	不需要融资	150-500人	12k-15k	1-3年	本科
6955317	Python开发工程师-财务报表平台	62	北京字节跳动科技有限公司	字节跳动	文娱丨内容	C轮	2000人以上	20k-40k	3-5年	本科
6565264	Python后端高级开发工程师-抖音/火山	62	北京字节跳动科技有限公司	字节跳动	文娱丨内容	C轮	2000人以上	20k-40k	1-3年	本科
7700590	Python数据分析师	67389	北京指南针科技发展股份有限公司	北京指南针	移动互联网,金融	上市公司	500-2000人	10k-20k	1-3年	本科
6295175	高级Python工程师	154561	上海大岂网络科技有限公司	MoSeeker仟寻	移动互联网	B轮	150-500人	15k-25k	3-5年	本科
7347740	python开发工程师	304192	一网互通（北京）科技有限公司	一网互通	广告营销,移动互联网	天使轮	50-150人	15k-25k	3-5年	本科
6137453	python运维开发	503823	深圳市文德数慧科技开发有限责任公司	文德数慧	企业服务	不需要融资	150-500人	15k-20k	3-5年	本科
